Mono_Left_overall_transcript,Mono_Right_overall_transcript,lang-detect_roberta-base-model,lang-detect_lang-detect-model
"Hello. क्या मैं अंकित से बात कर? जी, मेरा नाम जो area है और dot com से बोल रही हूं. Sir, मैंने आपसे कुछ दिन पहले बात की थी आपके online order के बारे में. क्या मैं जान सकती हूं अगर आपने order place कर दिया है sir या नहीं? आपने कर दिया, ठीक है. आपको order confirmation का WhatsApp message और email भी आ गया है, right sir? Ok, great sir. Disconnect के साथ order place करने के लिए सकती हूं. आपका","Hello. क्या मैं अंकित से बात कर? जी, मेरा नाम जो area है और dot com से बोल रही हूं. Sir, मैंने आपसे कुछ दिन पहले बात की थी आपके online order के बारे में. क्या मैं जान सकती हूं अगर आपने order place कर दिया है sir या नहीं? आपने कर दिया, ठीक है. आपको order confirmation का WhatsApp message और email भी आ गया है, right sir? Ok, great sir. Disconnect के साथ order place करने के लिए सकती हूं. आपका",hi,hi
"Hello. Hello good evening. मेरी बात प्रीति बेनीवाल से हो रही है? जी ma'am, good evening. मेरा नाम जुबेला है और मैं Disant dot com की ओर से call कर रही हूं. Ma'am आपने Disant dot com. Ma'am, आपने हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही  Understand but you are running a very exciting discount ma'am. तो आपको ना 60 percent तक का हमारे जो top product है ना ताकि उसमें ना आपको 60 percent तक के discount में खरीदने का chance मिलेगा. Ma'am, ok, but this is the unlimited time offer, like, after दीवाली season only. So you, so ma'am you you are saying that you look into it after दीवाली only. Alright? Ma'am I understand ma'am but you will not have requirement as of now.","Hello. Hello good evening. मेरी बात प्रीति बेनीवाल से हो रही है? जी ma'am, good evening. मेरा नाम जुबेला है और मैं Disant dot com की ओर से call कर रही हूं. Ma'am आपने Disant dot com. Ma'am, आपने हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही  Understand but you are running a very exciting discount ma'am. तो आपको ना 60 percent तक का हमारे जो top product है ना ताकि उसमें ना आपको 60 percent तक के discount में खरीदने का chance मिलेगा. Ma'am, ok, but this is the unlimited time offer, like, after दीवाली season only. So you, so ma'am you you are saying that you look into it after दीवाली only. Alright? Ma'am I understand ma'am but you will not have requirement as of now.",hi,en
"Hello क्या मैं आरवी सीता रसम जी से बात कर रही हूं? Yes, ma'am. You're comfortable in हिंदी or English? Alright ma'am. Ma'am my name is and I'm calling from Dssaan dot com. Ma'am I just need 2 minutes to help. I'm calling from Dssaan dot com. Ma'am, I just need 2 minutes to help you place your pending order for metal swan पेड़ decorated soap piece, which you have like the added. Sorry, yes. Ok ma'am, I understand. You're welcome but may I know what was you're saying ma'am? What is your concern regarding shipping? Ok. So, you want free shipping, you are saying? Ok. I understand. Ma'am for 5 year below 5 Yes ma'am. See ma'am, for online payment, if you are paying online, then free shipping is above 500 rupees, ok, at least your card value. Yes. And for COD, yes, for COD, it is rupees thousand. At least your minimum order should be thousand rupees for free shipping. Ok? So, the sooner you Ok. हां जी, तो अच्छा तो ma'am कब तक आप दूसरा order add करके दूसरा product order करना चाहेंगे ma'am? आपने कोई पसंद किया product? अच्छा, ठीक है. Ma'am आपको बताना चाहूंगी आप जितना जल्दी order करें.","Hello क्या मैं आरवी सीता रसम जी से बात कर रही हूं? Yes, ma'am. You're comfortable in हिंदी or English? Alright ma'am. Ma'am my name is and I'm calling from Dssaan dot com. Ma'am I just need 2 minutes to help. I'm calling from Dssaan dot com. Ma'am, I just need 2 minutes to help you place your pending order for metal swan पेड़ decorated soap piece, which you have like the added. Sorry, yes. Ok ma'am, I understand. You're welcome but may I know what was you're saying ma'am? What is your concern regarding shipping? Ok. So, you want free shipping, you are saying? Ok. I understand. Ma'am for 5 year below 5 Yes ma'am. See ma'am, for online payment, if you are paying online, then free shipping is above 500 rupees, ok, at least your card value. Yes. And for COD, yes, for COD, it is rupees thousand. At least your minimum order should be thousand rupees for free shipping. Ok? So, the sooner you Ok. हां जी, तो अच्छा तो ma'am कब तक आप दूसरा order add करके दूसरा product order करना चाहेंगे ma'am? आपने कोई पसंद किया product? अच्छा, ठीक है. Ma'am आपको बताना चाहूंगी आप जितना जल्दी order करें.",hi,en
"क्या मेरी रुचि सिन्हा से बात कर रही हूं? मेरा नाम है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप yellow small diamond पर piece upted question power का order place कर रहे थे. पर आपने order को confirm नहीं किया. क्या मैं आपको order place कर अच्छा अभी available नहीं है कह रहे हैं. Ma'am मैं आपको ऐसे पुछ सकती हूं अभी check करके order place करने में. मैं एक बार check कर लेती हूं कि product क्या है. आपने check किया ma'am हमारी website पर आपको 5 details लगी अच्छा तो ma'am मैं ma'am आपको option होता है जैसे कि एक product एक वहां पर जो catalog में होगा एक ही show करेगा लेकिन वहां auto cart का option भी होता है ना उसमें आप quantity अपने हिसाब से  Ma'am एक बार मैं check कर लेती हूं. अभी मैंने आपको साथ, आप मुझे एक minute का समय दीजिए ma'am. Please आप hold करेंगे मैं अभी call पर check कर लूं? जी मैं check कर रही हूं अगर quantity बढ़कर है तो मैं आपको आपको कितने piece चाहिए कह रहे थे आप 5 pieces sir? अच्छा small diamond sub तक cushion cover. 5 99 rupees वाला. अच्छा ना ma'am 5 99 rupees वाला जो आपने add किया था. 15 by 50. Quantity, हां ma'am quantity तो आज हो रही है अभी just off में भी. मैंने अभी just पांच आठ करके देखा, हां ma'am तो मैं आपको assist कर देती. Ma'am मैं आपको, मैं आपको अभी guide कर देती हूं ma'am. आपको website पर login कर लीजिए. मैं आपको call पर ही order place करने में मदद कर देती हूं. अभी आप dot com, क्योंकि अभी मैंने order booking link आपके साथ show तो किया. क्या ma'am, क्या भेजने के लिए कह रहे हैं Ma'am website में आपको देखिए मैंने website link भेजी है आपको लेकिन उस पर आप edit नहीं कर पाएंगे. कहां पर आपने आज किया हुआ है इस तरह. लेकिन आपको अभी ना मैं website link share नहीं कर पाऊंगी WhatsApp पर क्षमा चाहूंगी. हमारी website है WWW dot दुकान dot com. आप उसे call पर ही login कर लीजिए. मैं आपका order place करने में मदद कर देती हूं अभी. अगर call पर अभी order place  आप जितना जल्दी order place करेंगे ma'am उतनी जल्दी delivery हो जाएगी. अगर आपको order value rupees 900 से ज़्यादा है तो हम आपको discount code भी दे सकते हैं. अगर आप अभी order place करें तो. क्या आप अभी order place करना चाहते हैं?  हां ma'am. जी ma'am अब मैं dot com से भूल रही हूं. अभी ma'am order place करना चाह रहे थे. तो अब मैं assist कर देती हूं. तो ma'am आप dot com open कर, आप जो Chrome browser है ना उसमें dot com type कर लीजिए और उसे search कर लीजिए. हमारी website open हो जाएगी. हां जी, TUS double a n dot com. नहीं open हुआ ma'am. Refresh करके open कर लीजिएगा. अभी open हुआ है? अच्छा ma'am मैंने अभी just open किया है website तो open हो रही है. एक बार आप close करके open करिए आप new tab में open करके देखिएगा. WWWW dot dot com DUS double a n. Double a n dot com. अभी search कीजिए ma'am, open हुई. अच्छा था. जी, अब हम लोग वहां product select कर रहे थे वह enter कर लीजिए search पर. Ma'am आपको वहां पर shopping cart में यह product added दिख रहा है 1 ऐसा कुछ? Shopping card empty दिख रहा है कि वहां पर कोई product आने जाए? Mp है. Ma'am यहां पर search का option है ना magnifying glass उतरा हुआ होगा वहां पर display में. वहां पर ma'am yellow small diamond burky Tapesition cover वह search कर लीजिए. बस आप yellow small diamond के type की use करेंगे ना तो आपको यह 16 by 16 ises वाला आ जाएगा सामने display का. Yellow small diamond. बर्फी का question cover.  क्या बता रहे Ma'am 5 99. Yes ma'am 5 99 पर add किए थे. हां जी. उसमें ना quantity का option है ना वहां पर ma'am को 5 quantity चाहिए तो please उसमें add कर लीजिए. Plus पर click करेंगे तो quantity increase हो जाएगी. आपने add कर लिया ma'am 5? कितने आज हुए हैं ma'am अब तक? एक ही आया, but ma'am हो रहा है might be Product availability के according आप नहीं कर पा रहे हैं क्या और आप? Ma'am मेरे end से तो हो रहा है, but आपको नहीं हो रहा है क्या? अच्छा तो ma'am की requirement है कि ma'am को पांच चाहिए. एक से नहीं चाहिए था. हां जी तो ma'am maybe शायद कोई technical issue है या फिर product availability के according होगा 1. तो अभी आप एक का order place करना चाहेंगे ma'am या पांच ही चाहिए थे आपको? साथ ही सही है. Ok, no problem. Ma'am आप चाहेंगे कि हम आपके end से order place कर दें अगर, but आपको वहां क्या show कर रहा है ना plus 1 like maximum quantity ऐसा कुछ बता रहा है क्या? या product not available क्या बता रहा है? Cannot add more products. Ok. Ma'am product availability के according होगा वह. तो शायद अभी product available नहीं होगा like stock में तो ऐसे बता रहा है आपको. तो no problem ma'am जैसे कि ma'am ने कहा था कि वह check करके कुछ समय बाद में order order place करेंगे तो आप please कुछ समय बाद try कीजिएगा, ठीक है? के लिए मैं माफ़ी चाहती हूं. मेरी end से आज हो रहा है, तो पता नहीं क्यों आपको वहां पर ऐसे show किया. तो यह हमारी team के साथ share करूंगी ma'am और हमारी team में से कोई आपको reach out भी करेंगे. मैं आपको ना कल तक callback करती हूं और अगर आपको order place करने में कोई मुश्किल हो रही है तो please मुझे बता देना, ठीक है? आपका ok thank you ma'am आपका समय देने के लिए. आपका दिन शुभ हो.","क्या मेरी रुचि सिन्हा से बात कर रही हूं? मेरा नाम है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप yellow small diamond पर piece upted question power का order place कर रहे थे. पर आपने order को confirm नहीं किया. क्या मैं आपको order place कर अच्छा अभी available नहीं है कह रहे हैं. Ma'am मैं आपको ऐसे पुछ सकती हूं अभी check करके order place करने में. मैं एक बार check कर लेती हूं कि product क्या है. आपने check किया ma'am हमारी website पर आपको 5 details लगी अच्छा तो ma'am मैं ma'am आपको option होता है जैसे कि एक product एक वहां पर जो catalog में होगा एक ही show करेगा लेकिन वहां auto cart का option भी होता है ना उसमें आप quantity अपने हिसाब से  Ma'am एक बार मैं check कर लेती हूं. अभी मैंने आपको साथ, आप मुझे एक minute का समय दीजिए ma'am. Please आप hold करेंगे मैं अभी call पर check कर लूं? जी मैं check कर रही हूं अगर quantity बढ़कर है तो मैं आपको आपको कितने piece चाहिए कह रहे थे आप 5 pieces sir? अच्छा small diamond sub तक cushion cover. 5 99 rupees वाला. अच्छा ना ma'am 5 99 rupees वाला जो आपने add किया था. 15 by 50. Quantity, हां ma'am quantity तो आज हो रही है अभी just off में भी. मैंने अभी just पांच आठ करके देखा, हां ma'am तो मैं आपको assist कर देती. Ma'am मैं आपको, मैं आपको अभी guide कर देती हूं ma'am. आपको website पर login कर लीजिए. मैं आपको call पर ही order place करने में मदद कर देती हूं. अभी आप dot com, क्योंकि अभी मैंने order booking link आपके साथ show तो किया. क्या ma'am, क्या भेजने के लिए कह रहे हैं Ma'am website में आपको देखिए मैंने website link भेजी है आपको लेकिन उस पर आप edit नहीं कर पाएंगे. कहां पर आपने आज किया हुआ है इस तरह. लेकिन आपको अभी ना मैं website link share नहीं कर पाऊंगी WhatsApp पर क्षमा चाहूंगी. हमारी website है WWW dot दुकान dot com. आप उसे call पर ही login कर लीजिए. मैं आपका order place करने में मदद कर देती हूं अभी. अगर call पर अभी order place  आप जितना जल्दी order place करेंगे ma'am उतनी जल्दी delivery हो जाएगी. अगर आपको order value rupees 900 से ज़्यादा है तो हम आपको discount code भी दे सकते हैं. अगर आप अभी order place करें तो. क्या आप अभी order place करना चाहते हैं?  हां ma'am. जी ma'am अब मैं dot com से भूल रही हूं. अभी ma'am order place करना चाह रहे थे. तो अब मैं assist कर देती हूं. तो ma'am आप dot com open कर, आप जो Chrome browser है ना उसमें dot com type कर लीजिए और उसे search कर लीजिए. हमारी website open हो जाएगी. हां जी, TUS double a n dot com. नहीं open हुआ ma'am. Refresh करके open कर लीजिएगा. अभी open हुआ है? अच्छा ma'am मैंने अभी just open किया है website तो open हो रही है. एक बार आप close करके open करिए आप new tab में open करके देखिएगा. WWWW dot dot com DUS double a n. Double a n dot com. अभी search कीजिए ma'am, open हुई. अच्छा था. जी, अब हम लोग वहां product select कर रहे थे वह enter कर लीजिए search पर. Ma'am आपको वहां पर shopping cart में यह product added दिख रहा है 1 ऐसा कुछ? Shopping card empty दिख रहा है कि वहां पर कोई product आने जाए? Mp है. Ma'am यहां पर search का option है ना magnifying glass उतरा हुआ होगा वहां पर display में. वहां पर ma'am yellow small diamond burky Tapesition cover वह search कर लीजिए. बस आप yellow small diamond के type की use करेंगे ना तो आपको यह 16 by 16 ises वाला आ जाएगा सामने display का. Yellow small diamond. बर्फी का question cover.  क्या बता रहे Ma'am 5 99. Yes ma'am 5 99 पर add किए थे. हां जी. उसमें ना quantity का option है ना वहां पर ma'am को 5 quantity चाहिए तो please उसमें add कर लीजिए. Plus पर click करेंगे तो quantity increase हो जाएगी. आपने add कर लिया ma'am 5? कितने आज हुए हैं ma'am अब तक? एक ही आया, but ma'am हो रहा है might be Product availability के according आप नहीं कर पा रहे हैं क्या और आप? Ma'am मेरे end से तो हो रहा है, but आपको नहीं हो रहा है क्या? अच्छा तो ma'am की requirement है कि ma'am को पांच चाहिए. एक से नहीं चाहिए था. हां जी तो ma'am maybe शायद कोई technical issue है या फिर product availability के according होगा 1. तो अभी आप एक का order place करना चाहेंगे ma'am या पांच ही चाहिए थे आपको? साथ ही सही है. Ok, no problem. Ma'am आप चाहेंगे कि हम आपके end से order place कर दें अगर, but आपको वहां क्या show कर रहा है ना plus 1 like maximum quantity ऐसा कुछ बता रहा है क्या? या product not available क्या बता रहा है? Cannot add more products. Ok. Ma'am product availability के according होगा वह. तो शायद अभी product available नहीं होगा like stock में तो ऐसे बता रहा है आपको. तो no problem ma'am जैसे कि ma'am ने कहा था कि वह check करके कुछ समय बाद में order order place करेंगे तो आप please कुछ समय बाद try कीजिएगा, ठीक है? के लिए मैं माफ़ी चाहती हूं. मेरी end से आज हो रहा है, तो पता नहीं क्यों आपको वहां पर ऐसे show किया. तो यह हमारी team के साथ share करूंगी ma'am और हमारी team में से कोई आपको reach out भी करेंगे. मैं आपको ना कल तक callback करती हूं और अगर आपको order place करने में कोई मुश्किल हो रही है तो please मुझे बता देना, ठीक है? आपका ok thank you ma'am आपका समय देने के लिए. आपका दिन शुभ हो.",hi,hi
" मेरा नाम है और मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि आप Aromatic दिया set, Spark of 2 set का order place कर रहे थे, पर आपने order confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? Sorry, दीवाली तक आपको चाहिए? अच्छा मैं आपको बताती हूं ma'am कि आप कितने दिनों में आपको order deliver हो होता है. उन्हीं को कितना time लगता है ma'am 4 to 8 days लगेंगे चार से आठ दिन लगेंगे. Metro cities से तीन से पांच दिन लगेंगे ma'am. तो क्या मैं आपको order place करने में मदद कर दूं? नहीं सही है कह रहे हैं. ठीक है ma'am no problem अगर आप अपना मन कर लें तो कभी भी WWW dot जिशान dot com पर से अपने पसंद की चीज़ें order कर सकते हैं. आपका"," मेरा नाम है और मैं दुकान dot com से बात कर रही हूं. मैं देख सकती हूं कि आप Aromatic दिया set, Spark of 2 set का order place कर रहे थे, पर आपने order confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? Sorry, दीवाली तक आपको चाहिए? अच्छा मैं आपको बताती हूं ma'am कि आप कितने दिनों में आपको order deliver हो होता है. उन्हीं को कितना time लगता है ma'am 4 to 8 days लगेंगे चार से आठ दिन लगेंगे. Metro cities से तीन से पांच दिन लगेंगे ma'am. तो क्या मैं आपको order place करने में मदद कर दूं? नहीं सही है कह रहे हैं. ठीक है ma'am no problem अगर आप अपना मन कर लें तो कभी भी WWW dot जिशान dot com पर से अपने पसंद की चीज़ें order कर सकते हैं. आपका",hi,hi
Hello. से बात कर रही हूं. नाम जुबेरा है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप design gold only set of 2 का order place कर रहे थे पर आपने order को confirm नहीं किया ma'am. क्या मैं आपको order place करने में मदद कर सकती हूं? अच्छा आपको भी required नहीं है. No problem अगर आप अपना number लें तो कभी भी WWW dot जिशान dot com पर से अपनी पसंद की चीज़ें order कर सकते हैं. आपका दिन शुभ हो. You're welcome.,Hello. से बात कर रही हूं. नाम जुबेरा है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप design gold only set of 2 का order place कर रहे थे पर आपने order को confirm नहीं किया ma'am. क्या मैं आपको order place करने में मदद कर सकती हूं? अच्छा आपको भी required नहीं है. No problem अगर आप अपना number लें तो कभी भी WWW dot जिशान dot com पर से अपनी पसंद की चीज़ें order कर सकते हैं. आपका दिन शुभ हो. You're welcome.,hi,hi
"से बात कर रही Ma'am आप इसी में, मेरा नाम है और मैं dot com से बात कर रही हूं. Ma'am मैं देख सकती हूं कि आप rose gold चोरी star का order place कर रहे थे. पर आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? आपने कर दिया ma'am already? नहीं confirm करने के लिए मैं आपको अभी order booking link SMS पर भेज रही हूं और आपको order place करने में मदद कर देती हूं. Please check कीजिए अगर आपको message मिल गया या नहीं? Normal text message? Ma'am आप हिंदी में comfortable है या English में? Ok. So, ma'am, please check, have you received the order booking link on normal sector day? Have you received it, ma'am? I'm waiting.","से बात कर रही Ma'am आप इसी में, मेरा नाम है और मैं dot com से बात कर रही हूं. Ma'am मैं देख सकती हूं कि आप rose gold चोरी star का order place कर रहे थे. पर आपने order को confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? आपने कर दिया ma'am already? नहीं confirm करने के लिए मैं आपको अभी order booking link SMS पर भेज रही हूं और आपको order place करने में मदद कर देती हूं. Please check कीजिए अगर आपको message मिल गया या नहीं? Normal text message? Ma'am आप हिंदी में comfortable है या English में? Ok. So, ma'am, please check, have you received the order booking link on normal sector day? Have you received it, ma'am? I'm waiting.",hi,hi
"Hello क्या मेरी बात नवीन अग्रवाल से हो रही Sir मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक श्री राम and सीता with rechargeable battery का एक order आप place कर रहे थे sir आपने उस order को confirm नहीं किया है. क्या मैं आपका order किस चीज़ में मदद कर सकती हूं? आपने यह नहीं किया है sir, like ग्रामीण सीता नाम से reschedule बाकी यह 12 99 का है यह वाला नहीं Ok, आपने pick off वाला कर दिया. तो इसको cancel कर दिया है sir आपने किया है या इसी पर किया है? Ok ok. Ok, ठीक है sir कोई बात नहीं. तो आपको यह नहीं purchase करना है ना? ठीक है no problem sir अगर आपका मन लगे तो आप कभी भी दुकान dot com पर अपने पसंद की चीज़ें order कर सकते हैं. Thank you so much for your time sir have a nice","Hello क्या मेरी बात नवीन अग्रवाल से हो रही Sir मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक श्री राम and सीता with rechargeable battery का एक order आप place कर रहे थे sir आपने उस order को confirm नहीं किया है. क्या मैं आपका order किस चीज़ में मदद कर सकती हूं? आपने यह नहीं किया है sir, like ग्रामीण सीता नाम से reschedule बाकी यह 12 99 का है यह वाला नहीं Ok, आपने pick off वाला कर दिया. तो इसको cancel कर दिया है sir आपने किया है या इसी पर किया है? Ok ok. Ok, ठीक है sir कोई बात नहीं. तो आपको यह नहीं purchase करना है ना? ठीक है no problem sir अगर आपका मन लगे तो आप कभी भी दुकान dot com पर अपने पसंद की चीज़ें order कर सकते हैं. Thank you so much for your time sir have a nice",hi,hi
"Hello क्या मैं दीपिका अरोड़ा से बात कर रही हूं? क्या मैं दीपिका अरोड़ा से बात कर रही हूं? नाम आयशा मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक decoor के glass 3 light stand का एक order आप place कर रहे थे, पर आपने इस order को confirm नहीं किया है. क्या मैं आपका order place करने में मदद कर सकती हूं ma'am? Ma'am can you place the order right now like if you want to buy? Ok ma'am so if you want to place the order, I'm just sending you the booking link SMS. Can you please check it, like have you received it or not? Ok alright, no problem ma'am. I can give you a call tomorrow to check out, ok? Thank you so much","Hello क्या मैं दीपिका अरोड़ा से बात कर रही हूं? क्या मैं दीपिका अरोड़ा से बात कर रही हूं? नाम आयशा मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक decoor के glass 3 light stand का एक order आप place कर रहे थे, पर आपने इस order को confirm नहीं किया है. क्या मैं आपका order place करने में मदद कर सकती हूं ma'am? Ma'am can you place the order right now like if you want to buy? Ok ma'am so if you want to place the order, I'm just sending you the booking link SMS. Can you please check it, like have you received it or not? Ok alright, no problem ma'am. I can give you a call tomorrow to check out, ok? Thank you so much",hi,en
"Hello क्या मैं मोनी boy से बात कर रही हूं? नाम आशा है. मैं Disaan dot com से बात कर रही हूं. सुशांत dot com और मैं देख सकती हूं कि आपका एक gold metal rechargeable sunflower oil Inn का एक order आप place कर रहे थे, but आपने ना इस order को confirm नहीं किया. क्या मैं आपका order? Don't require ok no problem you can always order decide and ok? Thank you so much for your time ma'am. Have a nice day. ","Hello क्या मैं मोनी boy से बात कर रही हूं? नाम आशा है. मैं Disaan dot com से बात कर रही हूं. सुशांत dot com और मैं देख सकती हूं कि आपका एक gold metal rechargeable sunflower oil Inn का एक order आप place कर रहे थे, but आपने ना इस order को confirm नहीं किया. क्या मैं आपका order? Don't require ok no problem you can always order decide and ok? Thank you so much for your time ma'am. Have a nice day. ",hi,en
